iter	Passed	Remaining
0	142	142299
1	143	71362
2	143	47703
3	144	35861
4	144	28759
5	145	24022
6	145	20641
7	145	18103
8	146	16129
9	146	14550
10	147	13272
11	148	12204
12	148	11298
13	149	10517
14	149	9839
15	150	9245
16	151	8734
17	151	8267
18	152	7850
19	152	7474
20	153	7135
21	153	6827
22	154	6545
23	154	6287
24	155	6048
25	155	5828
26	156	5623
27	156	5434
28	157	5257
29	157	5092
30	157	4938
31	158	4794
32	158	4658
33	159	4531
34	160	4411
35	160	4298
36	160	4190
37	161	4089
38	162	3993
39	162	3901
40	163	3814
41	163	3731
42	164	3652
43	164	3577
44	165	3505
45	165	3435
46	166	3369
47	166	3305
48	167	3244
49	167	3185
50	168	3128
51	168	3074
52	169	3021
53	169	2971
54	170	2922
55	170	2875
56	171	2830
57	171	2786
58	172	2743
59	172	2702
60	173	2663
61	173	2626
62	174	2588
63	174	2552
64	175	2518
65	175	2484
66	176	2451
67	176	2419
68	177	2389
69	177	2359
70	178	2331
71	178	2303
72	179	2276
73	179	2250
74	180	2223
75	180	2198
76	181	2173
77	181	2149
78	182	2126
79	182	2103
80	183	2082
81	184	2060
82	184	2036
83	184	2015
84	185	1994
85	185	1974
86	186	1954
87	186	1935
88	187	1916
89	187	1898
90	188	1880
91	188	1862
92	189	1845
93	189	1828
94	190	1812
95	190	1796
96	191	1781
97	191	1766
98	192	1750
99	192	1735
100	193	1720
101	193	1707
102	194	1694
103	195	1680
104	195	1666
105	195	1652
106	196	1639
107	196	1626
108	197	1614
109	197	1601
110	198	1589
111	198	1577
112	199	1565
113	199	1553
114	200	1542
115	200	1530
116	201	1518
117	201	1508
118	202	1497
119	202	1486
120	203	1476
121	203	1465
122	204	1455
123	204	1445
124	205	1436
125	205	1427
126	206	1417
127	206	1408
128	207	1399
129	207	1390
130	208	1381
131	208	1373
132	209	1366
133	210	1357
134	210	1349
135	211	1340
136	211	1332
137	212	1324
138	212	1316
139	213	1308
140	213	1300
141	213	1292
142	214	1284
143	214	1276
144	215	1269
145	215	1262
146	216	1254
147	216	1247
148	217	1240
149	217	1233
150	218	1226
151	218	1220
152	219	1214
153	219	1207
154	220	1201
155	220	1195
156	221	1189
157	222	1183
158	222	1177
159	223	1171
160	223	1164
161	223	1158
162	224	1152
163	224	1146
164	225	1141
165	225	1135
166	226	1129
167	226	1123
168	227	1118
169	227	1112
170	228	1107
171	228	1102
172	229	1096
173	229	1091
174	230	1086
175	230	1081
176	231	1075
177	231	1070
178	232	1065
179	232	1061
180	233	1056
181	233	1051
182	234	1046
183	234	1042
184	235	1037
185	236	1032
186	236	1028
187	237	1023
188	237	1019
189	238	1014
190	238	1011
191	239	1006
192	239	1002
193	240	997
194	240	993
195	241	989
196	241	985
197	242	980
198	242	976
199	243	972
200	243	968
201	244	964
202	244	960
203	245	956
204	245	952
205	246	948
206	246	944
207	247	940
208	247	936
209	248	933
210	248	929
